Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;26;pati;1262;4272;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;26;pati;1262;4272;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;26;pati;1262;4272;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;26;pati;1262;4272;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;27;skmb91302;1231;4120;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;27;skmb91302;1231;4120;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;27;skmb91302;1231;4120;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;27;skmb91302;1231;4120;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;27;skmb91302;1231;4120;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;28;jmr3904;1213;4092;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;28;jmr3904;1213;4092;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;28;jmr3904;1213;4092;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;28;jmr3904;1213;4092;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;28;jmr3904;1213;4092;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;29;se77x9;1334;4512;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;29;se77x9;1334;4512;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;29;se77x9;1334;4512;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;29;se77x9;1334;4512;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;29;se77x9;1334;4512;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;30;vrc4373;1261;4216;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;30;vrc4373;1261;4216;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;30;vrc4373;1261;4216;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;30;vrc4373;1261;4216;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;30;vrc4373;1261;4216;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;31;iq80310;1272;4308;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;31;iq80310;1272;4308;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;31;iq80310;1272;4308;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;31;iq80310;1272;4308;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;31;iq80310;1272;4308;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;32;mac7100evb;1248;4236;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;32;mac7100evb;1248;4236;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;32;mac7100evb;1248;4236;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;32;mac7100evb;1248;4236;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;32;mac7100evb;1248;4236;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;33;aki3068net;1221;4135;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;33;aki3068net;1221;4135;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;33;aki3068net;1221;4135;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;33;aki3068net;1221;4135;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;33;aki3068net;1221;4135;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;34;eb42;1248;4235;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;34;eb42;1248;4235;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;34;eb42;1248;4235;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;34;eb42;1248;4235;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;34;eb42;1248;4235;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
